age,annual_income,customer_satisfaction,purchase_frequency,customer_loyalty
62,70994,9,15,9
47,28978,4,1,1
56,27421,8,15,6
18,28441,10,13,2
28,28024,1,6,8
40,42921,7,16,6
52,81495,2,18,2
60,21377,10,17,3
18,26941,10,15,6
26,80699,10,29,9
62,49769,9,14,10
29,39459,10,12,5
39,59189,8,26,1
59,91043,2,29,3
40,119799,3,19,7
62,79739,9,12,2
24,104541,1,8,4
45,48496,7,28,8
48,70727,7,16,7
24,58618,7,6,10
21,65132,7,7,7
54,96454,3,25,6
52,87241,7,4,3
39,50997,8,9,2
47,116855,3,25,7
61,100897,4,23,10
42,28663,5,22,7
52,87078,4,24,7
34,28378,5,25,4
61,30624,10,18,5
58,118365,5,17,6
38,75677,2,19,1
37,43643,6,15,8
42,53887,6,12,1
22,108247,6,11,6
24,93799,9,17,7
46,34572,2,24,7
56,30899,5,8,9
60,41639,6,5,6
37,46798,4,18,6
35,36234,6,10,9
50,85297,10,27,4
53,34761,10,17,2
56,49816,8,2,3
52,115725,5,2,5
28,104189,3,18,10
47,71166,5,10,10
24,63009,7,16,3
36,22615,7,19,7
58,29925,10,20,6
49,34944,2,24,3
35,38370,7,11,8
56,105530,10,17,5
50,34862,9,23,4
52,72186,5,15,9
25,116853,3,3,4
47,112197,6,10,1
59,83837,4,16,1
34,40650,8,28,10
40,97134,10,2,6
43,68943,7,24,8
46,88925,5,7,1
37,101956,6,8,3
27,114732,6,28,5
61,43703,10,23,10
44,67656,8,25,10
36,54014,6,4,7
49,31906,7,20,1
57,39554,5,22,6
57,90884,3,10,7
32,36943,9,19,9
22,19872,1,15,2
31,87056,8,7,2
36,77342,9,6,3
64,65890,3,28,6
33,117680,5,20,4
58,112635,4,29,1
52,67598,10,4,10
43,119492,3,6,3
45,37773,5,22,9
49,110379,4,22,1
23,115914,7,29,8
59,35687,1,13,4
33,56732,1,7,5
29,108384,3,24,9
55,24048,8,14,4
49,70123,5,22,8
25,110441,9,19,8
39,49107,8,13,8
65,72758,9,8,2
22,29577,4,22,8
22,17143,8,26,3
62,67862,4,2,1
65,98267,10,10,9
32,58955,10,20,3
21,112547,9,2,3
62,69617,4,18,2
43,117586,1,24,7
53,108298,9,16,7
48,31264,8,16,9
26,85833,5,13,9
57,24197,7,19,3
62,34107,3,27,3
58,41062,2,7,3
59,30600,5,19,6
49,34866,6,13,4
49,100428,8,13,9
33,52811,5,30,4
41,24256,3,5,2
40,48875,10,24,8
29,46984,5,21,8
27,108623,4,5,3
35,104861,6,27,2
57,41287,10,19,10
62,57579,3,23,2
62,77709,4,24,5
23,103002,4,17,10
53,98793,9,24,2
34,30720,6,4,7
60,61677,10,15,7
63,80753,5,13,7
41,53900,3,13,6
26,27136,5,10,8
59,70023,10,16,3
31,62170,8,22,4
24,68414,1,14,10
22,97011,8,15,3
26,69197,3,7,10
45,66951,2,18,3
33,110130,8,25,8
25,42682,8,7,2
41,86038,6,22,10
27,83488,8,13,2
59,108918,6,10,2
35,52676,2,17,4
38,81728,1,13,9
61,110192,7,2,6
59,103483,5,3,6
18,59984,10,30,2
49,77880,1,2,7
20,82658,2,1,4
29,49032,6,23,4
28,77283,7,30,10
43,61652,8,25,3
54,88084,7,5,2
42,21991,1,16,6
52,60319,8,5,7
29,46979,1,4,3
63,53360,6,19,8
34,41679,1,18,1
46,108124,9,6,8
48,56593,8,18,8
47,111533,4,10,10
32,80244,1,22,7
57,66687,7,17,8
43,99407,9,14,5
49,59476,4,22,8
57,99749,4,28,2
28,63937,3,29,8
58,62061,10,26,8
63,85789,6,18,10
45,85330,1,17,2
42,21578,5,12,9
37,61439,4,27,7
18,62441,8,4,5
37,73136,2,6,6
21,52844,6,1,6
45,35832,8,9,1
42,16401,2,28,4
18,36789,6,1,4
54,45137,4,12,9
52,16763,10,2,7
22,33924,6,21,5
51,94331,6,2,1
52,73852,9,16,4
21,58938,3,3,7
54,76868,5,4,7
60,87063,5,28,9
63,117307,7,27,9
65,23497,4,7,4
40,75327,7,5,3
58,61475,10,18,10
20,53266,8,19,7
49,24989,7,19,9
63,52961,10,16,9
27,83029,2,30,10
35,96406,10,21,7
47,63109,8,19,5
64,46209,6,15,4
46,96815,1,21,4
41,72463,8,6,7
34,98811,4,8,6
36,90282,9,30,6
42,24378,7,14,9
30,63765,1,6,10
18,55103,9,12,7
50,26449,4,22,8
51,23631,3,19,9
20,23202,4,11,6
29,75419,7,29,9
41,48819,9,11,6
38,117907,1,20,4
51,28120,8,21,1
43,82771,6,30,10
41,42246,9,5,3
19,77095,5,26,10
52,84402,1,30,1
41,94872,6,4,9
37,100680,7,11,4
29,22615,10,16,10
44,99004,5,1,8
59,71547,8,11,4
61,40861,10,16,10
50,82237,4,7,9
29,41922,8,17,5
38,118879,7,3,7
20,69651,7,25,1
39,27241,8,11,8
65,110035,9,4,6
57,46967,9,17,2
31,93552,6,28,4
41,30312,4,23,7
28,17699,7,14,9
58,116930,9,15,7
24,54127,2,20,10
26,111844,5,1,10
53,64333,10,8,5
58,19249,8,13,6
43,46542,3,6,1
62,103823,7,15,9
31,28052,10,1,6
46,116100,2,21,2
60,99370,1,3,4
29,36792,7,18,5
37,41904,6,29,2
18,114733,5,6,5
30,72437,6,3,4
47,117466,6,27,1
30,24538,3,22,7
51,85495,10,4,5
53,46699,6,13,8
28,94978,2,18,5
29,29294,8,5,2
23,89903,3,21,7
29,38811,2,9,6
30,111484,10,2,6
39,80011,5,21,3
21,88927,2,8,8
60,30905,9,30,6
50,65483,6,16,4
62,109303,3,9,7
38,36999,7,2,9
29,79162,2,10,3
30,18917,1,6,4
41,97526,3,27,6
32,27731,10,6,2
53,49636,9,21,2
60,34571,5,18,8
44,32728,4,2,1
50,81605,6,14,9
56,119219,6,13,3
49,47427,3,3,2
28,52220,7,15,9
45,65851,6,19,6
61,119384,9,28,2
54,69860,6,18,5
26,101761,7,18,1
50,38953,9,5,2
52,49652,1,24,4
38,53833,6,23,10
59,75739,6,21,3
63,22801,8,26,8
64,26858,2,21,2
37,25439,10,29,4
31,63195,2,25,4
43,46916,10,12,4
63,27127,9,9,3
21,100230,6,10,8
44,78542,5,27,9
62,32393,7,13,10
40,63668,2,18,10
54,86185,10,17,7
34,36954,6,29,1
63,115419,7,24,2
56,82490,1,25,5
43,49570,6,13,9
56,56626,4,21,4
36,52972,4,10,3
37,99658,5,25,7
59,108043,7,5,3
52,82116,8,24,9
63,24259,10,19,7
28,28716,1,11,10
26,21802,5,17,2
40,116746,9,28,6
65,70954,5,11,7
44,59125,10,13,6
51,25634,10,15,3
45,97717,5,20,8
39,81502,7,7,4
48,99707,6,8,3
59,93561,9,13,10
44,58847,4,26,9
28,31925,8,29,8
55,74675,8,8,6
42,21256,7,2,5
24,100386,3,1,9
48,112736,10,2,2
60,97882,3,19,1
19,102191,5,10,10
50,71839,7,21,3
60,90888,10,26,1
27,23214,6,7,6
42,32239,2,19,8
37,104253,1,11,3
55,24366,8,6,6
61,21060,1,5,9
47,92372,2,2,10
34,30683,1,24,2
20,52395,8,15,6
21,39424,4,15,8
58,91435,5,26,9
42,65438,8,5,10
54,17381,4,23,9
28,91825,3,28,7
43,91481,2,24,7
28,75019,10,26,2
46,116845,1,12,3
47,37801,1,30,7
35,95766,10,17,9
20,70320,7,10,8
61,67967,5,7,4
48,18033,2,4,5
39,44297,4,22,6
46,109886,8,8,3
41,71758,3,21,5
23,21618,5,24,9
54,63199,6,28,1
60,105053,9,28,6
22,51186,1,10,4
34,96324,4,9,4
40,35509,1,29,1
30,78504,10,19,6
24,105772,8,28,1
25,54050,6,16,10
29,27532,9,24,10
40,115821,4,8,10
42,21620,5,1,7
32,67211,7,20,2
36,38238,8,29,4
39,36037,8,7,4
36,22503,4,5,5
61,89789,5,2,5
56,32281,1,9,3
19,71544,6,5,8
56,110561,5,18,3
61,19254,7,1,6
65,105502,7,28,5
20,101309,6,14,4
29,86606,5,15,4
39,90695,6,30,9
39,107897,4,17,3
57,82836,10,13,7
41,111183,1,21,7
58,30955,9,1,8
46,47038,7,15,7
27,87093,8,1,10
18,70038,6,9,2
57,54572,5,20,7
27,36909,8,12,4
44,41649,3,5,9
65,63035,4,6,4
19,49223,7,25,3
27,72489,3,18,4
60,41834,3,12,4
22,85375,8,27,1
37,44827,10,21,10
46,36431,4,15,3
31,113370,4,27,6
53,95938,9,1,4
38,75081,2,8,7
46,76818,4,14,6
60,41044,5,27,1
55,100834,6,5,9
61,66307,5,20,7
45,99320,7,5,2
54,116542,4,5,1
38,22783,3,23,6
27,90835,10,2,1
24,28432,4,30,5
44,91164,6,13,7
40,24095,8,4,9
57,38157,5,12,7
29,117126,2,30,5
43,116061,8,18,4
21,38139,1,20,10
46,44676,4,16,10
22,119602,4,3,5
60,95466,2,28,1
38,44008,6,1,3
56,37613,3,20,9
48,71301,6,22,10
50,113723,3,19,5
24,24787,3,18,1
63,76708,9,5,2
29,111962,3,2,4
21,45409,8,6,1
56,95939,9,3,10
53,38391,2,13,7
35,103929,6,10,2
19,63111,10,16,7
50,100116,2,24,5
36,118104,5,25,3
61,32980,1,16,6
62,106804,2,30,10
22,68919,9,22,6
52,39931,5,3,1
64,42314,3,1,5
36,76960,7,20,5
20,111501,2,19,8
26,95007,1,15,8
38,114081,5,5,1
19,45764,3,4,1
36,54353,3,6,8
35,69113,8,24,3
49,42044,3,2,5
56,96898,4,22,10
18,87509,9,10,10
58,25686,4,7,3
21,70501,2,8,1
54,42042,5,24,8
63,72892,2,24,7
28,91843,2,29,2
63,97899,6,19,9
38,15755,10,16,5
56,61110,5,17,6
58,118729,7,4,8
49,54278,6,24,1
23,51740,5,30,10
19,112840,8,21,1
62,97694,8,6,6
60,46740,3,24,2
30,107360,2,14,9
40,18653,2,5,1
30,85951,2,15,2
21,91147,10,22,9
41,93115,1,20,6
37,45829,1,25,6
54,109406,10,25,9
21,110568,4,1,2
56,73398,7,9,4
23,36653,8,9,2
61,51372,5,17,7
58,15349,2,15,9
25,27054,1,21,5
28,22804,10,28,6
22,35375,1,10,2
20,54669,2,2,9
27,110405,10,14,3
55,116643,7,23,3
30,107034,3,22,6
51,65044,4,18,9
18,56096,2,20,3
52,24283,4,15,1
18,97194,2,1,9
52,113390,2,26,2
20,101570,4,22,4
27,31076,4,17,7
60,52288,9,23,2
49,66034,9,2,2
36,53430,6,23,8
56,101781,2,16,4
57,81340,7,28,2
27,111497,2,4,7
60,56483,2,14,8
39,101412,8,8,9
58,33024,1,9,1
41,98603,3,30,8
59,64229,7,11,4
55,89678,6,10,8
37,57086,2,27,7
43,57468,1,24,10
18,56279,1,30,6
23,118166,10,24,2
44,37558,3,1,4
51,110803,4,9,6
44,33787,7,17,3
38,108578,3,22,3
35,34675,1,18,10
22,95852,3,12,2
43,113914,1,18,9
64,60251,8,2,2
62,113849,2,24,1
37,57158,3,10,3
45,21143,6,4,4
18,57096,10,11,10
32,81169,7,10,1
30,100356,10,21,1
48,40306,2,30,10
50,55780,3,4,10
25,25432,8,21,3
62,103187,10,2,6
23,77735,7,15,7
21,111586,2,22,7
41,45467,4,24,4
57,19125,10,14,2
41,64209,5,18,4
46,117112,1,14,7
56,77989,5,5,10
57,38028,6,4,7
53,17978,9,8,5
24,56901,6,2,9
38,88874,3,4,8
59,45712,2,10,4
25,36882,5,10,3
36,116604,2,8,5
28,23864,4,19,9
52,50294,1,5,4
24,93260,8,28,7
54,105135,3,26,8
62,86769,1,4,3
54,92289,6,13,6
58,47258,9,14,9
22,25008,10,28,4
32,119619,8,29,1
35,81886,6,4,1
51,64289,8,1,7
52,88564,8,21,8
33,91866,5,12,9
34,68668,8,28,6
26,101551,4,11,4
56,115551,9,8,7
54,98883,9,27,3
46,59945,1,30,6
45,48359,4,15,4
32,105308,1,14,3
61,22155,5,23,5
46,112176,6,3,10
27,60749,2,27,8
61,63712,6,1,7
23,90750,7,7,8
51,48438,5,11,6
64,41532,9,4,4
55,85226,7,21,8
54,119112,9,6,3
47,17451,10,27,6
26,45170,6,29,6
33,97539,8,19,9
30,110304,2,20,2
35,47085,5,21,4
51,52157,1,14,6
65,78203,6,27,4
31,78578,3,3,3
65,33573,6,8,1
25,15184,2,9,10
25,43981,2,12,2
29,30427,6,18,8
57,60101,5,6,9
25,104493,10,17,1
25,106221,3,8,8
60,15258,10,2,3
62,114755,7,27,3
33,24712,7,24,3
24,40326,7,21,5
30,81293,5,13,7
52,77820,8,17,3
40,107375,3,13,9
47,61108,8,7,2
50,63005,7,30,1
48,52527,1,28,3
28,38567,5,30,1
54,95053,8,2,6
22,25071,1,6,5
38,78213,10,9,3
46,114332,9,12,5
59,80267,3,6,6
30,112926,4,26,7
57,97898,4,11,9
52,104945,7,16,6
29,28804,6,16,3
64,40251,7,22,6
60,71355,5,6,5
50,105015,5,28,8
40,40736,9,25,4
39,18905,7,24,10
43,57757,9,23,2
22,48079,6,14,1
38,119152,7,7,1
33,81985,5,4,10
51,28912,5,28,10
60,85953,9,18,6
52,115882,9,2,5
56,81379,9,8,3
61,33621,9,23,1
44,46389,7,28,4
34,75726,2,5,6
32,67025,4,13,7
40,35362,1,25,6
55,48614,5,29,10
55,46998,5,19,4
27,91086,4,29,5
62,87329,4,14,2
25,55757,7,13,5
36,19570,3,9,9
30,73750,3,14,8
52,117379,3,25,1
34,18909,4,26,8
20,37067,10,21,8
19,22488,6,2,8
40,115395,4,13,3
42,24180,9,27,3
44,63058,3,28,2
57,75748,10,24,9
63,19563,8,16,5
21,108481,3,19,9
18,67689,8,23,6
59,68210,6,7,1
44,93375,8,22,7
54,83750,8,10,9
36,111583,5,14,4
51,45622,6,17,10
38,54346,7,4,5
34,115790,10,26,7
55,40500,9,25,10
41,101930,9,15,7
19,113491,6,10,1
47,41185,1,8,1
63,42510,8,25,1
53,91889,10,2,4
18,119387,6,14,3
51,41421,1,9,3
36,107299,9,12,6
22,83987,8,4,1
22,66880,5,29,9
34,32086,4,22,1
27,100960,7,22,9
27,24449,7,20,6
59,53119,2,13,4
49,27285,7,1,9
56,103376,3,22,2
64,48330,4,13,1
46,116179,2,16,5
30,18567,7,3,9
31,54126,6,12,8
65,86216,3,25,5
33,73774,7,7,10
45,43998,7,28,9
19,100881,6,18,5
54,53698,9,14,4
25,33850,3,23,8
53,73546,6,25,1
62,19568,9,5,7
42,94933,4,6,7
47,32702,4,12,5
42,91083,5,26,8
32,61683,4,3,10
41,62128,2,13,6
52,103516,10,9,5
45,110895,6,26,9
63,67312,8,26,3
21,16269,6,10,9
40,92222,8,12,3
33,101907,7,6,5
55,50155,4,24,5
24,71687,7,9,9
58,103445,4,5,9
20,99644,1,25,2
59,86965,5,25,6
25,57278,3,12,6
50,105597,9,20,8
57,18986,6,17,6
55,104275,4,2,1
44,27813,7,5,9
20,64930,3,26,5
49,57829,10,3,7
45,65511,3,20,6
65,20957,4,14,5
23,97458,6,12,7
25,24014,8,11,7
61,70461,8,13,9
21,71695,8,22,1
53,118918,5,13,6
29,55522,3,9,7
57,19815,5,29,6
24,116617,6,18,4
64,29281,3,9,3
36,54317,3,25,7
25,56926,9,27,2
30,107952,4,10,7
39,33496,8,9,8
58,77202,6,22,3
37,22407,8,11,6
45,109794,4,12,8
54,31288,2,30,10
54,51642,5,13,2
26,69749,7,7,2
53,84904,7,3,1
64,101046,6,6,10
26,20857,1,3,4
33,43652,10,19,7
42,20170,9,20,1
63,68804,1,23,7
60,24840,10,27,2
57,59454,3,29,2
40,52758,2,17,1
43,52879,2,11,3
61,68152,8,11,5
45,22070,8,13,4
37,48481,2,19,2
59,63526,10,9,8
51,77128,3,4,2
61,31876,4,21,9
46,15774,7,30,6
25,39881,7,26,5
29,102635,9,27,2
18,117982,7,10,8
41,51351,1,22,2
27,65728,7,1,3
22,103586,5,7,3
41,89751,3,25,2
52,86713,3,28,9
63,58273,5,2,3
50,37649,5,26,10
63,69700,10,28,2
18,80390,10,28,2
33,30709,8,20,7
45,57635,1,18,6
54,85465,10,28,3
38,108485,4,10,3
29,86771,5,14,3
37,99549,10,2,10
35,78372,7,18,3
31,64048,7,8,6
64,64775,8,18,6
63,95736,4,4,3
19,83424,1,5,6
32,118828,8,6,6
38,89897,2,22,10
64,33779,2,10,9
21,93794,2,15,4
23,22274,5,30,6
45,43037,8,2,9
51,106595,3,28,2
54,25715,8,27,6
40,88915,2,26,3
23,76553,8,20,5
27,47946,3,16,8
49,84610,3,8,7
35,70593,1,25,2
63,108119,2,18,9
65,117812,4,22,2
34,93593,3,28,9
58,43516,8,2,2
22,96547,7,3,4
24,77937,5,15,5
24,112520,4,24,1
19,99749,2,15,7
47,41801,8,26,2
52,54179,8,4,4
27,78282,8,26,9
51,40156,8,27,3
46,50861,10,1,5
53,100475,5,29,2
59,119462,7,11,10
62,18979,7,27,10
48,29865,6,6,10
51,44987,3,29,4
37,37482,3,10,3
52,49743,8,7,3
63,63091,2,3,7
58,75434,10,9,7
30,97550,8,28,2
29,36429,2,16,4
65,91341,5,25,10
65,64424,1,4,7
48,112598,9,21,10
57,41207,8,12,7
38,105310,7,20,5
48,104108,1,18,6
61,70778,9,30,8
22,106144,4,28,9
18,86756,2,24,6
53,89146,7,13,10
38,76831,3,21,10
22,44483,2,7,4
61,91641,9,9,7
28,80381,4,2,10
19,68352,3,17,9
33,57805,4,11,6
57,90052,1,29,9
60,95186,2,10,8
45,92421,2,8,8
62,16011,4,23,6
43,70891,6,20,2
23,93494,1,29,5
42,110527,8,8,6
60,18183,2,9,2
62,40792,7,22,4
31,119672,6,14,10
22,19634,5,18,8
26,82916,7,2,5
43,100717,9,2,7
58,58687,10,26,6
41,74092,2,2,3
28,105304,8,9,2
38,53772,5,16,1
62,43823,8,9,9
38,80935,1,30,3
33,34062,6,12,4
25,73420,4,1,8
53,34521,7,21,3
31,62376,10,6,5
64,25281,10,7,7
37,43941,6,11,6
19,101751,10,9,4
45,20379,8,18,6
26,45317,3,25,5
33,23800,5,16,2
40,89171,3,4,6
48,61907,1,26,2
60,40078,1,11,4
46,117526,4,12,3
53,114608,2,9,10
40,32118,2,23,9
58,94018,9,7,2
22,23980,4,22,7
48,104827,3,24,8
19,34955,3,22,3
48,94717,9,15,6
29,112143,10,12,10
44,79753,1,14,2
47,90522,9,3,9
55,20527,8,3,7
43,29639,7,22,4
52,38126,2,19,2
28,38060,4,8,10
57,80236,9,23,4
19,36261,1,16,7
24,91676,7,9,8
23,103803,6,21,3
21,39625,1,19,6
27,46533,7,9,8
62,63569,1,27,7
38,100097,1,4,7
57,94695,5,14,2
30,106945,5,6,6
56,70839,6,17,8
23,37560,9,22,6
18,101543,8,25,5
35,108208,7,28,7
39,86776,10,11,2
32,86967,5,23,2
58,107129,7,21,1
46,108567,2,29,5
33,15271,4,17,2
18,79018,2,6,4
56,46310,4,30,1
44,49115,8,29,2
51,54149,2,12,7
51,81080,8,10,4
42,63025,1,17,9
47,56317,4,20,1
32,47142,4,22,6
62,15269,10,30,2
23,78342,6,20,8
57,83781,2,28,10
53,115213,5,30,3
65,43567,1,1,9
64,98759,2,25,5
61,80693,10,4,5
18,27828,1,5,6
45,51557,4,21,5
41,31674,2,23,5
59,26762,10,19,5
33,38524,9,13,2
41,25056,7,14,5
37,41181,8,5,6
60,95777,8,25,5
50,88421,9,18,1
38,67152,8,29,8
48,24182,10,17,5
22,27218,8,22,7
33,80883,3,25,10
39,32157,5,15,10
26,53299,3,6,6
63,50666,1,2,4
60,75593,7,14,5
18,115233,3,14,5
19,55516,3,23,3
51,25015,1,12,6
41,72508,7,27,1
64,84241,2,9,5
42,55240,8,19,5
58,51843,1,30,10
46,17279,9,30,1
47,31541,10,1,1
59,109637,3,29,1
65,73580,3,23,6
27,100385,9,3,7
60,70995,1,26,2
28,94323,9,10,5
41,82073,7,24,10
59,97563,2,11,8
31,58105,7,12,4
53,40276,3,25,1
55,23426,7,28,3
52,85940,1,14,3
54,83447,9,12,7
51,81343,7,17,1
31,84992,6,14,3
56,108270,10,12,10
34,42824,8,6,1
25,26175,2,4,9
60,60902,9,15,7
23,52832,2,6,10
64,57270,10,28,8
38,90075,10,4,2
49,59475,4,30,1
44,73092,9,16,9
45,90561,7,10,2
38,92657,2,22,3
45,17317,2,17,1
41,85727,3,13,4
60,70141,3,20,6
59,96292,3,29,3
61,17342,7,13,1
45,93198,4,15,6
29,110720,5,24,9
59,56359,7,26,7
56,94649,9,28,5
18,47345,9,27,1
25,52024,8,10,1
42,64926,9,17,4
41,111873,3,5,9
18,52446,4,17,8
21,101626,2,28,6
51,60849,5,10,8
23,82429,6,25,7
43,66206,1,1,10
40,31895,9,3,4
55,41940,4,4,5
26,79667,6,11,7
27,67317,3,20,4
58,38002,10,28,9
37,46897,6,25,7
22,101914,6,22,2
20,28438,4,9,7
43,104758,7,16,1
27,65403,4,3,3
20,28584,10,21,3
44,19403,2,30,8
29,52942,3,4,7
63,35434,7,19,3
47,97884,10,9,7
45,86403,4,11,2
55,68845,2,20,4
29,54666,8,13,1
38,111744,2,22,8
32,101640,8,5,6
27,16348,5,30,3
41,79376,6,2,9
45,32502,10,18,6
35,79068,5,5,4
57,65815,7,25,9
55,112909,2,27,7
65,113421,2,4,3
64,107256,8,9,9
21,34352,3,4,1
42,76273,7,12,3
19,79783,1,27,6
64,32559,6,2,3
61,117839,5,25,3
20,53135,1,1,8
64,43654,7,7,5
56,53484,9,5,5
19,113773,5,21,7
64,108960,3,24,2
60,68683,10,9,1
53,22761,10,18,2
53,76712,2,16,7
65,116271,5,8,3
40,114143,4,4,9
56,72353,5,26,8
39,26234,9,30,4
58,116689,3,30,8
18,110205,9,29,1
53,111300,1,13,1
23,30901,3,18,5
22,18780,10,30,5
58,33992,10,6,3
24,32517,1,29,2
